SIRALAMA,ÜLKELER,MİLLİ GELİR,2023,BÜYÜME,KİŞİ BAŞINA,SIRALAMA.2,KITA
1,United States,20412.87,24537.0,2.27,62152.0,9,North America
2,China,14092.51,21574.0,6.86,10088.0,72,Asia
3,Japan,5167.05,5962.0,1.71,40849.0,25,Asia
4,Germany,4211.64,5272.0,2.51,50842.0,17,Europe
5,United Kingdom,2936.29,3477.0,1.79,44177.0,23,Europe
6,France,2925.1,3586.0,1.85,44934.0,21,Europe
7,India,2848.23,4663.0,6.74,2135.0,142,Asia
8,Italy,2181.97,2554.0,1.47,35914.0,27,Europe
9,Brazil,2138.92,2717.0,0.98,10224.0,71,South America
10,Canada,1798.51,2434.0,3.0,48466.0,20,North America
11,Russia,1719.9,1974.0,1.55,11947.0,65,Europe
12,Korea,1693.25,2155.0,3.09,32775.0,29,Asia
13,Spain,1506.44,1875.0,3.05,32559.0,31,Europe
14,Australia,1500.26,1958.0,2.27,59655.0,11,Oceania
15,Mexico,1212.83,1586.0,2.04,9723.0,74,North America
16,Indonesia,1074.97,1549.0,5.07,4052.0,116,Asia
17,Netherlands,945.33,1168.0,3.11,55185.0,13,Europe
18,Turkey,909.89,1224.0,7.05,11114.0,68,Asia
19,Saudi Arabia,748.0,866.0,-0.74,2265.0,42,Asia
20,Switzerland,741.69,929.3,1.07,86835.0,2,Europe
21,Argentina,625.92,831.7,2.86,14044.0,60,South America
22,Poland,614.19,793.2,4.55,1618.0,55,Europe
23,Taiwan Province of China,613.3,659.6,2.79,25977.0,37,Asia
24,Sweden,600.77,745.0,2.4,58345.0,12,Europe
25,Belgium,562.23,685.8,1.71,49272.0,18,Europe
26,Thailand,483.74,649.9,3.9,6992.0,85,Asia
27,Austria,477.67,595.4,2.9,53764.0,14,Europe
28,Norway,443.25,520.6,1.81,82711.0,5,Europe
29,Islamic Republic of Iran,418.88,472.3,4.28,5086.0,102,Asia
30,United Arab Emirates,411.83,515.4,0.53,39484.0,26,Asia
31,Nigeria,408.61,873.9,0.82,2108.0,143,Africa
32,Ireland,385.14,505.6,7.81,80641.0,6,Europe
33,Israel,373.75,482.1,3.32,42115.0,24,Asia
34,South Africa,370.89,455.8,1.32,6459.0,91,Africa
35,Denmark,369.76,465.4,2.11,6383.0,8,Europe
36,Malaysia,364.92,568.0,5.9,11237.0,67,Asia
37,Hong Kong SAR,364.78,489.8,3.82,48829.0,19,Asia
38,Singapore,349.66,437.8,3.62,61767.0,10,Asia
39,Philippines,332.45,523.0,6.67,3095.0,131,Asia
40,Colombia,327.98,435.0,1.77,6581.0,89,South America
41,Pakistan,324.73,471.4,5.28,1615.0,151,Asia
42,Finland,289.56,356.8,2.99,52422.0,15,Europe
43,Bangladesh,285.82,444.2,7.14,1734.0,150,Asia
44,Chile,280.27,359.8,1.47,15087.0,58,South America
45,Egypt,253.25,367.6,4.23,2611.0,135,Africa
46,Czech Republic,251.58,358.2,4.29,2375.0,40,Europe
47,Portugal,248.89,301.8,2.67,24237.0,39,Europe
48,Romania,245.59,350.6,7.0,12575.0,63,Europe
49,Vietnam,240.78,373.8,6.81,2546.0,137,Asia
50,Peru,231.57,311.2,2.51,7199.0,84,South America
