yıl,ay,enflasyon
2008,ocak,"8,17"
2008,şubat,"9,1"
2008,mart,"9,15"
2008,nisan,"9,66"
2008,mayıs,"10,74"
2008,haziran,"10,61"
2008,temmuz,"12,06"
2008,ağustos,"11,77"
2008,eylül,"11,13"
2008,ekim,"11,99"
2008,kasım,"10,76"
2008,aralık,"10,06"
2009,ocak,"9,5"
2009,şubat,"7,73"
2009,mart,"7,89"
2009,nisan,"6,13"
2009,mayıs,"5,24"
2009,haziran,"5,73"
2009,temmuz,"5,39"
2009,ağustos,"5,33"
2009,eylül,"5,27"
2009,ekim,"5,08"
2009,kasım,"5,53"
2009,aralık,"6,53"
2010,ocak,"8,19"
2010,şubat,"10,13"
2010,mart,"9,56"
2010,nisan,"10,19"
2010,mayıs,"9,1"
2010,haziran,"8,37"
2010,temmuz,"7,58"
2010,ağustos,"8,33"
2010,eylül,"9,24"
2010,ekim,"8,62"
2010,kasım,"7,29"
2010,aralık,"6,4"
2011,ocak,"4,9"
2011,şubat,"4,16"
2011,mart,"3,99"
2011,nisan,"4,26"
2011,mayıs,"7,17"
2011,haziran,"6,24"
2011,temmuz,"6,31"
2011,ağustos,"6,65"
2011,eylül,"6,15"
2011,ekim,"7,66"
2011,kasım,"9,48"
2011,aralık,"10,45"
2012,ocak,"10,61"
2012,şubat,"10,43"
2012,mart,"10,43"
2012,nisan,"11,14"
2012,mayıs,"8,28"
2012,haziran,"8,87"
2012,temmuz,"9,07"
2012,ağustos,"8,88"
2012,eylül,"9,19"
2012,ekim,"7,8"
2012,kasım,"6,37"
2012,aralık,"6,16"
2013,ocak,"7,31"
2013,şubat,"7,03"
2013,mart,"7,29"
2013,nisan,"6,13"
2013,mayıs,"6,51"
2013,haziran,"8,3"
2013,temmuz,"8,88"
2013,ağustos,"8,17"
2013,eylül,"7,88"
2013,ekim,"7,71"
2013,kasım,"7,32"
2013,aralık,"7,4"
2014,ocak,"7,75"
2014,şubat,"7,89"
2014,mart,"8,39"
2014,nisan,"9,38"
2014,mayıs,"9,66"
2014,haziran,"9,16"
2014,temmuz,"9,32"
2014,ağustos,"9,54"
2014,eylül,"8,86"
2014,ekim,"8,96"
2014,kasım,"9,15"
2014,aralık,"8,17"
2015,ocak,"7,24"
2015,şubat,"7,55"
2015,mart,"7,61"
2015,nisan,"7,91"
2015,mayıs,"8,09"
2015,haziran,"7,2"
2015,temmuz,"6,81"
2015,ağustos,"7,14"
2015,eylül,"7,95"
2015,ekim,"7,58"
2015,kasım,"8,1"
2015,aralık,"8,81"
2016,ocak,"9,58"
2016,şubat,"8,78"
2016,mart,"7,46"
2016,nisan,"6,57"
2016,mayıs,"6,58"
2016,haziran,"7,64"
2016,temmuz,"8,05"
2016,ağustos,"8,79"
2016,eylül,"7,28"
2016,ekim,"7,16"
2016,kasım,7
2016,aralık,"8,53"
2017,ocak,"9,22"
2017,şubat,"10,13"
2017,mart,"11,29"
2017,nisan,"11,87"
2017,mayıs,"11,72"
2017,haziran,"10,9"
2017,temmuz,"9,79"
2017,ağustos,"10,68"
2017,eylül,"7,29"
2017,ekim,"11,9"
2017,kasım,"12,98"
2017,aralık,"11,92"
